Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Brasil;Brasil;;;;7496;Amarela;4;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;96;Amarela;4;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;4153;Amarela;4;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;637;Amarela;4;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;339423;Branca;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;2665;Branca;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;175869;Branca;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;51059;Branca;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;14044;Indígena;5;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;152;Indígena;5;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;12191;Indígena;5;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;369;Indígena;5;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;747304;Não declarada;10;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;4658;Não declarada;10;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;486904;Não declarada;10;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;114884;Não declarada;10;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;734747;Parda;3;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;4519;Parda;3;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;599218;Parda;3;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;47753;Parda;3;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;113607;Preta;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;933;Preta;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;76377;Preta;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;6930;Preta;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
