Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
BA;Brasil;Nordeste;BA;;20654;15 a 17 anos;6002;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;2;15 a 17 anos;6002;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;32441;15 a 17 anos;6002;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;143;15 a 17 anos;6002;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;28661;18 a 19 anos;6003;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;24;18 a 19 anos;6003;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;13098;18 a 19 anos;6003;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;936;18 a 19 anos;6003;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;34637;20 a 24 anos;6004;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;56;20 a 24 anos;6004;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;14994;20 a 24 anos;6004;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;2167;20 a 24 anos;6004;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;11395;25 a 29 anos;6005;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;41;25 a 29 anos;6005;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;12395;25 a 29 anos;6005;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1538;25 a 29 anos;6005;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;6779;30 a 34 anos;6006;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;47;30 a 34 anos;6006;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;13661;30 a 34 anos;6006;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1223;30 a 34 anos;6006;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;5774;35 a 39 anos;6007;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;41;35 a 39 anos;6007;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;19336;35 a 39 anos;6007;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1118;35 a 39 anos;6007;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;11349;40 anos ou mais;6008;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;107;40 anos ou mais;6008;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;162631;40 anos ou mais;6008;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;2069;40 anos ou mais;6008;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;293;Até 14 anos;6001;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;2386;Até 14 anos;6001;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;13;Até 14 anos;6001;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
